epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4291.95,0.54358,0.41735,0.98075,0.98348,0.97171,0.98798,0.94702,0.31193,0.20074,0.77133,0.007591,0.007591,0.007591
75,4347.99,0.5432,0.41065,0.97928,0.97406,0.9716,0.9877,0.9548,0.29366,0.21474,0.76159,0.007558,0.007558,0.007558
76,4404.2,0.54404,0.41573,0.97914,0.98854,0.97672,0.98782,0.95681,0.29167,0.18914,0.76023,0.007525,0.007525,0.007525
77,4460.61,0.53945,0.40783,0.97666,0.95941,0.93777,0.97421,0.92716,0.32341,0.26509,0.78277,0.007492,0.007492,0.007492
78,4517,0.53922,0.41567,0.97939,0.98867,0.97721,0.98847,0.94628,0.31829,0.1939,0.7733,0.007459,0.007459,0.007459
79,4573.48,0.53098,0.40529,0.9766,0.93883,0.90075,0.94871,0.8759,0.39865,0.31619,0.83397,0.007426,0.007426,0.007426
80,4629.94,0.53836,0.40898,0.98058,0.9883,0.98452,0.98896,0.95824,0.28502,0.16927,0.75421,0.007393,0.007393,0.007393
81,4686.68,0.53374,0.4088,0.97577,0.98446,0.97288,0.98776,0.95399,0.29386,0.18788,0.7619,0.00736,0.00736,0.00736
82,4743.14,0.53976,0.41081,0.97988,0.97001,0.95104,0.97772,0.93125,0.32528,0.24199,0.7796,0.007327,0.007327,0.007327
83,4799.43,0.53585,0.40224,0.97797,0.96849,0.96876,0.98811,0.95824,0.28553,0.20889,0.75652,0.007294,0.007294,0.007294
84,4862.82,0.5337,0.39787,0.97523,0.98741,0.98125,0.98822,0.96022,0.2812,0.17241,0.75593,0.007261,0.007261,0.007261
85,4929.15,0.53523,0.40469,0.97598,0.98545,0.97897,0.98817,0.95581,0.2884,0.17602,0.75822,0.007228,0.007228,0.007228
86,4993.09,0.53341,0.39499,0.97495,0.99055,0.97639,0.9886,0.95548,0.29034,0.17359,0.75894,0.007195,0.007195,0.007195
87,5050.87,0.53941,0.40404,0.98001,0.99276,0.98211,0.98926,0.95975,0.28029,0.16521,0.75425,0.007162,0.007162,0.007162
88,5107.44,0.53658,0.40289,0.97834,0.98473,0.98308,0.98869,0.95627,0.28948,0.17014,0.76058,0.007129,0.007129,0.007129
89,5164.98,0.53833,0.40004,0.97845,0.98324,0.98013,0.98852,0.96022,0.2823,0.18479,0.75714,0.007096,0.007096,0.007096
90,5221.91,0.52931,0.39431,0.97292,0.96133,0.95877,0.98488,0.94858,0.29199,0.24402,0.76169,0.007063,0.007063,0.007063
91,5279.07,0.52802,0.39564,0.97323,0.8989,0.80611,0.8754,0.79642,0.46584,0.49772,0.90481,0.00703,0.00703,0.00703
92,5335.22,0.53037,0.395,0.97453,0.98761,0.98118,0.98861,0.95649,0.29759,0.17162,0.76351,0.006997,0.006997,0.006997
93,5392.18,0.53954,0.40532,0.98003,0.98881,0.98481,0.98869,0.96355,0.27418,0.15817,0.75063,0.006964,0.006964,0.006964
94,5448.9,0.53328,0.40527,0.97892,0.98227,0.97764,0.98796,0.95428,0.29069,0.18402,0.75936,0.006931,0.006931,0.006931
95,5504.8,0.52581,0.39553,0.97343,0.99154,0.98214,0.98842,0.95779,0.2878,0.15995,0.75959,0.006898,0.006898,0.006898
