epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,6272.64,0.50113,0.37087,0.97379,0.99353,0.98856,0.98989,0.97264,0.24071,0.12632,0.73003,0.00736,0.00736,0.00736
82,6350.13,0.50293,0.37191,0.97397,0.99281,0.98928,0.98989,0.97277,0.24089,0.12633,0.73046,0.007327,0.007327,0.007327
83,6427.65,0.50121,0.36074,0.97288,0.99356,0.98823,0.98992,0.97297,0.24022,0.12595,0.72999,0.007294,0.007294,0.007294
84,6504.24,0.5003,0.3662,0.97306,0.99408,0.9881,0.99002,0.97289,0.24108,0.12544,0.72926,0.007261,0.007261,0.007261
85,6580.5,0.50058,0.37303,0.97413,0.994,0.98829,0.98993,0.97317,0.2385,0.12438,0.7285,0.007228,0.007228,0.007228
86,6656.92,0.50176,0.36707,0.97304,0.99308,0.98872,0.9899,0.97311,0.23854,0.12336,0.72839,0.007195,0.007195,0.007195
87,6733.56,0.50307,0.37052,0.97409,0.99259,0.98909,0.98976,0.97296,0.23862,0.12341,0.72835,0.007162,0.007162,0.007162
88,6809.2,0.50013,0.36619,0.97355,0.99204,0.98956,0.99002,0.97313,0.23843,0.12332,0.72835,0.007129,0.007129,0.007129
89,6885.24,0.49472,0.36601,0.96869,0.99279,0.98874,0.98997,0.97336,0.23807,0.12312,0.72851,0.007096,0.007096,0.007096
90,6961.81,0.49489,0.36342,0.9696,0.99366,0.98853,0.99003,0.97344,0.23812,0.12263,0.72835,0.007063,0.007063,0.007063
91,7039.04,0.49423,0.36143,0.97132,0.99373,0.98816,0.99001,0.97357,0.23733,0.12238,0.72826,0.00703,0.00703,0.00703
92,7115.03,0.49339,0.35815,0.9666,0.99488,0.98753,0.99013,0.97382,0.23747,0.12202,0.72808,0.006997,0.006997,0.006997
93,7191.51,0.50144,0.36639,0.97242,0.99237,0.98923,0.98999,0.9737,0.23638,0.1219,0.72767,0.006964,0.006964,0.006964
94,7268.45,0.49265,0.35981,0.96735,0.99343,0.98898,0.99013,0.97418,0.23598,0.12104,0.72749,0.006931,0.006931,0.006931
95,7345.09,0.49485,0.36336,0.96936,0.9937,0.98913,0.99014,0.97378,0.23547,0.12133,0.72749,0.006898,0.006898,0.006898
96,7421.21,0.49659,0.36156,0.97092,0.99371,0.98858,0.99014,0.97395,0.23546,0.12086,0.7275,0.006865,0.006865,0.006865
97,7499.24,0.49684,0.36393,0.97077,0.99357,0.98926,0.99007,0.97408,0.23557,0.12108,0.7274,0.006832,0.006832,0.006832
98,7575.98,0.49202,0.36412,0.96491,0.99357,0.98919,0.99006,0.97406,0.2353,0.12142,0.72718,0.006799,0.006799,0.006799
99,7652.35,0.48988,0.3621,0.96678,0.99344,0.98934,0.99005,0.97397,0.2353,0.12064,0.72734,0.006766,0.006766,0.006766
100,7728.61,0.4881,0.35552,0.96491,0.99314,0.98945,0.98993,0.97417,0.23476,0.12023,0.72738,0.006733,0.006733,0.006733
101,7805.36,0.48776,0.35146,0.96513,0.99307,0.98995,0.98997,0.97439,0.23451,0.12001,0.72735,0.0067,0.0067,0.0067
102,7882.57,0.48896,0.35518,0.96399,0.99287,0.98994,0.9901,0.97446,0.23438,0.12008,0.72725,0.006667,0.006667,0.006667
103,7959.1,0.49388,0.35734,0.9677,0.99319,0.98976,0.99009,0.97424,0.23462,0.11976,0.72722,0.006634,0.006634,0.006634
104,8035.23,0.49095,0.3612,0.96532,0.99242,0.99023,0.99001,0.974,0.23458,0.11958,0.72717,0.006601,0.006601,0.006601
105,8111.67,0.49299,0.35835,0.96918,0.99278,0.98987,0.99003,0.97444,0.23375,0.11924,0.72681,0.006568,0.006568,0.006568
106,8188.47,0.48641,0.35427,0.96276,0.99332,0.98869,0.99009,0.97452,0.23354,0.1193,0.72682,0.006535,0.006535,0.006535
107,8264.91,0.49014,0.35601,0.96572,0.99355,0.98861,0.99007,0.97456,0.23374,0.11894,0.72706,0.006502,0.006502,0.006502
108,8341.32,0.48294,0.34934,0.96239,0.99412,0.9882,0.99006,0.97455,0.23358,0.11879,0.72697,0.006469,0.006469,0.006469
109,8417.02,0.48894,0.35314,0.96381,0.99415,0.98816,0.99002,0.97457,0.23334,0.11831,0.72674,0.006436,0.006436,0.006436
110,8493.17,0.48445,0.35314,0.9636,0.99414,0.9882,0.99007,0.97434,0.23285,0.11797,0.72653,0.006403,0.006403,0.006403
111,8569.93,0.48567,0.3526,0.96561,0.99377,0.9883,0.99008,0.97462,0.23234,0.11791,0.72641,0.00637,0.00637,0.00637
112,8647.28,0.48801,0.35806,0.96241,0.99384,0.98853,0.99012,0.97458,0.23195,0.11764,0.72626,0.006337,0.006337,0.006337
113,8723.33,0.48986,0.35853,0.96472,0.99406,0.98832,0.99018,0.9747,0.23163,0.11742,0.72606,0.006304,0.006304,0.006304
114,8799.24,0.48669,0.35503,0.96345,0.9934,0.98894,0.99019,0.97493,0.23133,0.11723,0.72601,0.006271,0.006271,0.006271
115,8876.19,0.4829,0.35134,0.9604,0.9932,0.98924,0.99012,0.97473,0.23122,0.11725,0.72591,0.006238,0.006238,0.006238
116,8953.33,0.48517,0.34956,0.96121,0.99394,0.98863,0.99009,0.97493,0.23133,0.11718,0.72595,0.006205,0.006205,0.006205
117,9029.11,0.48035,0.34415,0.9595,0.99367,0.98838,0.9901,0.97488,0.23123,0.11697,0.7259,0.006172,0.006172,0.006172
118,9105.8,0.48257,0.3465,0.96359,0.99367,0.9886,0.99016,0.97492,0.23091,0.11669,0.72579,0.006139,0.006139,0.006139
119,9182.37,0.48442,0.3537,0.96226,0.99339,0.98888,0.99021,0.975,0.23098,0.11679,0.7258,0.006106,0.006106,0.006106
120,9259.11,0.4809,0.34885,0.95959,0.9933,0.98914,0.99014,0.97473,0.23084,0.1167,0.72575,0.006073,0.006073,0.006073
121,9336.36,0.47827,0.35205,0.95778,0.99323,0.98934,0.99018,0.9749,0.23061,0.11652,0.72561,0.00604,0.00604,0.00604
122,9412.18,0.47943,0.34655,0.95936,0.99329,0.98945,0.99015,0.97487,0.23079,0.11665,0.72569,0.006007,0.006007,0.006007
123,9488.1,0.48324,0.34569,0.96311,0.99346,0.98942,0.99016,0.97498,0.23054,0.11674,0.72559,0.005974,0.005974,0.005974
124,9564.64,0.47717,0.34646,0.95754,0.99351,0.98942,0.99023,0.97515,0.23038,0.11686,0.72547,0.005941,0.005941,0.005941
125,9642.27,0.48343,0.34681,0.9603,0.99392,0.9893,0.99022,0.97517,0.23039,0.11675,0.72543,0.005908,0.005908,0.005908
126,9719.28,0.48426,0.34568,0.96159,0.99402,0.98941,0.9902,0.97516,0.23025,0.11684,0.72538,0.005875,0.005875,0.005875
127,9795.91,0.47786,0.34585,0.95601,0.9937,0.98966,0.99022,0.97511,0.23001,0.11674,0.72529,0.005842,0.005842,0.005842
128,9872.69,0.4761,0.34451,0.95777,0.99369,0.98965,0.99024,0.97528,0.22975,0.11631,0.72526,0.005809,0.005809,0.005809
129,9948.64,0.47607,0.34367,0.95573,0.99366,0.98934,0.99024,0.97538,0.2296,0.11648,0.72518,0.005776,0.005776,0.005776
130,10024.8,0.47911,0.34655,0.96011,0.99381,0.98944,0.99016,0.97527,0.22966,0.11654,0.72517,0.005743,0.005743,0.005743
131,10101.1,0.4782,0.34348,0.95716,0.99375,0.98943,0.99015,0.97542,0.22958,0.11636,0.72513,0.00571,0.00571,0.00571
132,10177.6,0.47824,0.34275,0.95834,0.99395,0.98898,0.99012,0.9753,0.22956,0.11631,0.72508,0.005677,0.005677,0.005677
133,10253.4,0.47785,0.34114,0.95864,0.994,0.98865,0.99015,0.97533,0.22942,0.11605,0.72502,0.005644,0.005644,0.005644
134,10330.2,0.47656,0.34465,0.95585,0.99461,0.98826,0.9901,0.97525,0.22939,0.11607,0.725,0.005611,0.005611,0.005611
135,10406.7,0.47422,0.34223,0.95594,0.99459,0.98833,0.99013,0.97531,0.22935,0.11603,0.72498,0.005578,0.005578,0.005578
136,10482.3,0.47618,0.34417,0.9549,0.99462,0.98838,0.99012,0.97523,0.22946,0.11585,0.72498,0.005545,0.005545,0.005545
137,10557.8,0.47112,0.33908,0.95453,0.99458,0.98839,0.99009,0.97526,0.22937,0.11579,0.72497,0.005512,0.005512,0.005512
138,10634,0.47881,0.3429,0.95694,0.99445,0.98847,0.99013,0.97524,0.22931,0.11572,0.72497,0.005479,0.005479,0.005479
139,10711.2,0.47472,0.34432,0.95753,0.99425,0.9886,0.99012,0.97525,0.22919,0.11573,0.72495,0.005446,0.005446,0.005446
140,10787.4,0.46746,0.33355,0.95384,0.99442,0.98853,0.99009,0.97529,0.22916,0.11563,0.72495,0.005413,0.005413,0.005413
141,10863.8,0.47368,0.34059,0.95321,0.99457,0.98845,0.99016,0.97532,0.22907,0.11557,0.72489,0.00538,0.00538,0.00538
142,10939.2,0.46918,0.33432,0.95465,0.99464,0.98856,0.99017,0.97537,0.22892,0.11569,0.72487,0.005347,0.005347,0.005347
143,11017.7,0.47609,0.34051,0.9542,0.99473,0.98862,0.99017,0.97547,0.22876,0.11577,0.72478,0.005314,0.005314,0.005314
144,11095,0.46963,0.337,0.9543,0.99477,0.98866,0.99018,0.9755,0.22874,0.11571,0.72475,0.005281,0.005281,0.005281
145,11171.5,0.47244,0.33552,0.95252,0.99473,0.98877,0.99018,0.97547,0.22866,0.11562,0.72474,0.005248,0.005248,0.005248
146,11247.5,0.47577,0.34132,0.95586,0.99457,0.98877,0.99019,0.97548,0.22859,0.1157,0.72473,0.005215,0.005215,0.005215
147,11324.3,0.46842,0.33341,0.95136,0.99482,0.98867,0.99019,0.97556,0.22849,0.11555,0.72472,0.005182,0.005182,0.005182
148,11415.7,0.46759,0.33143,0.94894,0.99492,0.98861,0.99019,0.97564,0.22842,0.1157,0.72469,0.005149,0.005149,0.005149
149,11510.2,0.46807,0.33667,0.95385,0.99488,0.98863,0.99018,0.97563,0.22845,0.11576,0.72469,0.005116,0.005116,0.005116
150,11589.3,0.47023,0.3403,0.95085,0.9946,0.98893,0.99018,0.97566,0.22842,0.11594,0.72467,0.005083,0.005083,0.005083
151,11665.6,0.46761,0.33153,0.9501,0.99438,0.98903,0.99016,0.97572,0.22832,0.11565,0.72466,0.00505,0.00505,0.00505
152,11741.8,0.46394,0.33345,0.95012,0.99465,0.98882,0.99016,0.97575,0.22822,0.11567,0.72466,0.005017,0.005017,0.005017
153,11818.5,0.46752,0.33067,0.94922,0.99432,0.9891,0.99019,0.97574,0.22824,0.11558,0.7247,0.004984,0.004984,0.004984
154,11894.6,0.46513,0.33052,0.95215,0.9945,0.98909,0.99019,0.97574,0.22814,0.11552,0.72468,0.004951,0.004951,0.004951
155,11970.5,0.46662,0.33358,0.9518,0.99437,0.98899,0.9902,0.97577,0.22813,0.11541,0.7247,0.004918,0.004918,0.004918
156,12046.7,0.46554,0.33373,0.95159,0.99436,0.98918,0.9902,0.97575,0.22812,0.11535,0.72468,0.004885,0.004885,0.004885
157,12123.6,0.46358,0.32704,0.94867,0.99438,0.9892,0.99024,0.9758,0.22807,0.11549,0.72467,0.004852,0.004852,0.004852
